"","P","G","totalPG"
"2","æ","a","æ+a"
"3","d","d","d+d"
"4","ɛ","e","ɛ+e"
"5","s","c","s+c"
"6","ɪ","i","ɪ+i"
"210","r","r","r+r"
"310","ə","i","ə+i"
"410","eɪ","a","eɪ+a"
"58","ə","a","ə+a"
"61","ə","a","ə+a"
"7","æ","a","æ+a"
"8","æ","a","æ+a"
"9","θ","th","θ+th"
"10","ɛ","e","ɛ+e"
"11","aɪ","i","aɪ+i"
"12","ɪ","y","ɪ+y"
"13","ŋ","n","ŋ+n"
"14","ŋ","n","ŋ+n"
"15","ɑ","o","ɑ+o"
"16","k","k","k+k"
"17","ə","o","ə+o"
"18","ʌ","u","ʌ+u"
"19","r","r","r+r"
"20","n","n","n+n"
"21","æ","a","æ+a"
"22","ɛ","a","ɛ+a"
"23","ɔ","o","ɔ+o"
"24","ə","o","ə+o"
"25","ʊ","oo","ʊ+oo"
"26","eɪ","a","eɪ+a"
"27","aɪ","ia","aɪ+ia"
"28","ɪ","i","ɪ+i"
"29","ə","e","ə+e"
"30","ŋ","n","ŋ+n"
"31","aʊ","ow","aʊ+ow"
"32","æ","a","æ+a"
"33","d","d","d+d"
"34","æ","a","æ+a"
"35","ŋ","n","ŋ+n"
"36","ɪ","i","ɪ+i"
"37","aɪ","i","aɪ+i"
"38","ɪ","i","ɪ+i"
"39","ŋ","n","ŋ+n"
"40","r","r","r+r"
"41","eɪ","a","eɪ+a"
"42","ɪ","i","ɪ+i"
"43","t","z","t+z"
"44","ʌ","u","ʌ+u"
"45","æ","a","æ+a"
"46","ɪ","i","ɪ+i"
"47","ɪ","i","ɪ+i"
"48","i","ee","i+ee"
"49","oʊ","ow","oʊ+ow"
"50","ɔ","o","ɔ+o"
"51","eɪ","a","eɪ+a"
"52","θ","th","θ+th"
"53","aʊ","ow","aʊ+ow"
"54","ʌ","u","ʌ+u"
"55","r","r","r+r"
"56","n","n","n+n"
"57","ɛ","e","ɛ+e"
