"","STRING","initial1...2","initial1...3","initial1...4","1a...5","1a...6","1a...7","1b...8","1b...9","1b...10","1c...11","1c...12","1c1","1d...14","1d...15","1d...16","1e...17","1e...18","1e...19","initial2...20","initial2...21","initial2...22","2a...23","2a...24","2a...25","2b...26","2b...27","2b...28","2c...29","2c...30","2c...31","2d...32","2d...33","2d...34","2e...35","2e...36","2e...37","initial3...38","initial3...39","initial3...40","3a...41","3a...42","3a...43","3b...44","3b...45","3b...46","3c...47","3c...48","3c...49","3d...50","3d...51","3d...52","initial4...53","initial4...54","initial4...55","4a...56","4a...57","4a...58","4b...59","4b...60","4b...61","4c...62","4c...63","4c...64","initial5...65","initial5...66","initial5...67","5a...68","5a...69","5a...70","5b...71","5b...72","5b...73","5c...74","5c...75","5c...76","initial6...77","initial6...78","initial6...79","6a...80","6a...81","6a...82","6b...83","6b...84","6b...85","6c...86","6c...87","6c...88","MEANING","AGE","bin"
"1","a","eɪ","a","eɪ+a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"one, any","2.11236425925926","(2,3]"
"2","a","ə","a","ə+a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"one, any","2.11236425925926","(2,3]"
"3","after","æ","a","æ+a","f","f","f+f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t","t","t+t","ɚ","e","ɚ+e","r","r","r+r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"looking for","3.50389691593353","(3,4]"
"4","airplane","ɛ","ai","ɛ+ai","r","r","r+r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p","p","p+p","l","l","l+l","eɪ","a","eɪ+a_e","n","n","n+n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"flying machine","2.47190672153635","(2,3]"
"5","all","ɔ","a","ɔ+a","l","ll","l+ll",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"the whole","2.8161733543883","(2,3]"
"6","alligator","æ","a","æ+a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"l","ll","l+ll","ə","i","ə+i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"g","g","g+g","eɪ","a","eɪ+a",NA,NA,NA,NA,NA,NA,NA,NA,NA,"t","t","t+t","ɚ","o","ɚ+o","r","r","r+r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a water animal","3.75493011494253","(3,4]"
"7","am","æ","a","æ+a","m","m","m+m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"my being","3.48235166666667","(3,4]"
"8","and","æ","a","æ+a","n","n","n+n","d","d","d+d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"also","2.595148187751","(2,3]"
"9","animal","æ","a","æ+a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n","n","n+n","ə","i","ə+i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","m","m+m","ə","a","ə+a","l","l","l+l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a beast","2.81627945736434","(2,3]"
"10","ankle","æ","a","æ+a","ŋ","n","ŋ+n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"k","k","k+k","ə",NA,"ə+_","l","l","l+l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"part of foot","3.90241510015408","(3,4]"
