"Result","row.name","a"
"result.1","ɑ+a"," 67"
"result.1","æ+a","436"
"result.1","aɪ+a","  1"
"result.1","ɔ+a"," 23"
"result.1","ə+a","320"
"result.1","eɪ+a","278"
"result.1","ɛ+a","104"
"result.1","i+a","  1"
"result.1","ɪ+a","  2"
"result.1","ʌ+a","  1"
"","",""
"Result","row.name","ah"
"result.2","ɛ+ah","1"
"","",""
"Result","row.name","ai"
"result.3","aɪ+ai"," 2"
"result.3","ə+ai"," 1"
"result.3","eɪ+ai","25"
"result.3","ɛ+ai"," 5"
"","",""
"Result","row.name","aigh"
"result.4","eɪ+aigh","1"
"","",""
"Result","row.name","au"
"result.5","ɑ+au","6"
"result.5","æ+au","1"
"result.5","aʊ+au","2"
"result.5","ɔ+au","8"
"result.5","oʊ+au","1"
"","",""
"Result","row.name","augh"
"result.6","ɔ+augh","4"
"","",""
"Result","row.name","aw"
"result.7","ɑ+aw"," 2"
"result.7","ɔ+aw","11"
"","",""
"Result","row.name","awy"
"result.8","ɔɪ+awy","2"
"","",""
"Result","row.name","ay"
"result.9","aɪ+ay"," 4"
"result.9","eɪ+ay","31"
"","",""
"Result","row.name","b"
"result.10","b+b","34"
"","",""
"Result","row.name","c"
"result.11","k+c","148"
"result.11","s+c"," 20"
"result.11","ʃ+c","  2"
"","",""
"Result","row.name","cc"
"result.12","k+cc","1"
"","",""
"Result","row.name","ch"
"result.13","k+ch"," 3"
"result.13","tʃ+ch","11"
"","",""
"Result","row.name","ck"
"result.14","k+ck","21"
"","",""
"Result","row.name","d"
"result.15","d+d","118"
"result.15","dʒ+d","  1"
"","",""
"Result","row.name","dd"
"result.16","d+dd","1"
"","",""
"Result","row.name","dg"
"result.17","dʒ+dg","2"
"","",""
"Result","row.name","e"
"result.18","ə+e","183"
"result.18","eɪ+e","  5"
"result.18","ɛ+e","421"
"result.18","i+e","247"
"result.18","ɪ+e","268"
"","",""
"Result","row.name","ea"
"result.19","æ+ea","  1"
"result.19","eɪ+ea","  3"
"result.19","ɛ+ea"," 43"
"result.19","i+ea","104"
"result.19","ɪ+ea","  6"
"","",""
"Result","row.name","eau"
"result.20","ju+eau","3"
"","",""
"Result","row.name","ed"
"result.21","d+ed","1"
"","",""
"Result","row.name","ee"
"result.22","i+ee","68"
"result.22","ɪ+ee"," 3"
"","",""
"Result","row.name","ei"
"result.23","aɪ+ei","2"
"result.23","eɪ+ei","3"
"result.23","ɛ+ei","2"
"result.23","i+ei","4"
"","",""
"Result","row.name","eigh"
"result.24","eɪ+eigh","3"
"","",""
"Result","row.name","eo"
"result.25","ɛ+eo","2"
"result.25","i+eo","1"
"result.25","ɪ+eo","2"
"","",""
"Result","row.name","es"
"result.26","z+es","3"
"","",""
"Result","row.name","eu"
"result.27","ju+eu","2"
"result.27","u+eu","4"
"","",""
"Result","row.name","ew"
"result.28","oʊ+ew"," 1"
"result.28","u+ew","18"
"","",""
"Result","row.name","ey"
"result.29","aɪ+ey","2"
"result.29","eɪ+ey","1"
"result.29","i+ey","9"
"","",""
"Result","row.name","ez"
"result.30","eɪ+ez","1"
"","",""
"Result","row.name","f"
"result.31","f+f","21"
"","",""
"Result","row.name","ff"
"result.32","f+ff","5"
"","",""
"Result","row.name","g"
"result.33","dʒ+g"," 6"
"result.33","g+g","26"
"","",""
"Result","row.name","gg"
"result.34","g+gg","3"
"","",""
"Result","row.name","gh"
"result.35","f+gh","1"
"","",""
"Result","row.name","gn"
"result.36","n+gn","1"
"","",""
"Result","row.name","he"
"result.37","ə+he","1"
"","",""
"Result","row.name","hi"
"result.38","ə+hi","1"
"result.38","ɪ+hi","3"
"","",""
"Result","row.name","ho"
"result.39","ɑ+ho","2"
"result.39","ə+ho","1"
"","",""
"Result","row.name","i"
"result.40","aɪ+i","217"
"result.40","ə+i","242"
"result.40","i+i","198"
"result.40","ɪ+i","698"
"","",""
"Result","row.name","ia"
"result.41","aɪ+ia","5"
"result.41","ə+ia","1"
"","",""
"Result","row.name","ie"
"result.42","aɪ+ie","1"
"result.42","i+ie","8"
"","",""
"Result","row.name","ieu"
"result.43","u+ieu","1"
"","",""
"Result","row.name","igh"
"result.44","aɪ+igh","19"
"","",""
"Result","row.name","k"
"result.45","k+k","29"
"","",""
"Result","row.name","l"
"result.46","l+l","177"
"","",""
"Result","row.name","ll"
"result.47","l+ll","25"
"","",""
"Result","row.name","lo"
"result.48","r+lo","1"
"","",""
"Result","row.name","m"
"result.49","m+m","222"
"","",""
"Result","row.name","mb"
"result.50","m+mb","1"
"","",""
"Result","row.name","mp"
"result.51","m+mp","1"
"","",""
"Result","row.name","n"
"result.52","n+n","805"
"result.52","ŋ+n"," 91"
"","",""
