"Result","row.name","a"
"result.1","ɑ+a","0.05433901"
"result.1","æ+a","0.35360908"
"result.1","aɪ+a","0.00081103"
"result.1","ɔ+a","0.01865369"
"result.1","ə+a","0.25952960"
"result.1","eɪ+a","0.22546634"
"result.1","ɛ+a","0.08434712"
"result.1","i+a","0.00081103"
"result.1","ɪ+a","0.00162206"
"result.1","ʌ+a","0.00081103"
"","",""
"Result","row.name","ah"
"result.2","ɛ+ah","1"
"","",""
"Result","row.name","ai"
"result.3","aɪ+ai","0.06060606"
"result.3","ə+ai","0.03030303"
"result.3","eɪ+ai","0.75757576"
"result.3","ɛ+ai","0.15151515"
"","",""
"Result","row.name","aigh"
"result.4","eɪ+aigh","1"
"","",""
"Result","row.name","au"
"result.5","ɑ+au","0.33333333"
"result.5","æ+au","0.05555556"
"result.5","aʊ+au","0.11111111"
"result.5","ɔ+au","0.44444444"
"result.5","oʊ+au","0.05555556"
"","",""
"Result","row.name","augh"
"result.6","ɔ+augh","1"
"","",""
"Result","row.name","aw"
"result.7","ɑ+aw","0.1538462"
"result.7","ɔ+aw","0.8461538"
"","",""
"Result","row.name","awy"
"result.8","ɔɪ+awy","1"
"","",""
"Result","row.name","ay"
"result.9","aɪ+ay","0.1142857"
"result.9","eɪ+ay","0.8857143"
"","",""
"Result","row.name","b"
"result.10","b+b","1"
"","",""
"Result","row.name","c"
"result.11","k+c","0.87058824"
"result.11","s+c","0.11764706"
"result.11","ʃ+c","0.01176471"
"","",""
"Result","row.name","cc"
"result.12","k+cc","1"
"","",""
"Result","row.name","ch"
"result.13","k+ch","0.2142857"
"result.13","tʃ+ch","0.7857143"
"","",""
"Result","row.name","ck"
"result.14","k+ck","1"
"","",""
"Result","row.name","d"
"result.15","d+d","0.991596639"
"result.15","dʒ+d","0.008403361"
"","",""
"Result","row.name","dd"
"result.16","d+dd","1"
"","",""
"Result","row.name","dg"
"result.17","dʒ+dg","1"
"","",""
"Result","row.name","e"
"result.18","ə+e","0.162811388"
"result.18","eɪ+e","0.004448399"
"result.18","ɛ+e","0.374555160"
"result.18","i+e","0.219750890"
"result.18","ɪ+e","0.238434164"
"","",""
"Result","row.name","ea"
"result.19","æ+ea","0.006369427"
"result.19","eɪ+ea","0.019108280"
"result.19","ɛ+ea","0.273885350"
"result.19","i+ea","0.662420382"
"result.19","ɪ+ea","0.038216561"
"","",""
"Result","row.name","eau"
"result.20","ju+eau","1"
"","",""
"Result","row.name","ed"
"result.21","d+ed","1"
"","",""
"Result","row.name","ee"
"result.22","i+ee","0.95774648"
"result.22","ɪ+ee","0.04225352"
"","",""
"Result","row.name","ei"
"result.23","aɪ+ei","0.1818182"
"result.23","eɪ+ei","0.2727273"
"result.23","ɛ+ei","0.1818182"
"result.23","i+ei","0.3636364"
"","",""
"Result","row.name","eigh"
"result.24","eɪ+eigh","1"
"","",""
"Result","row.name","eo"
"result.25","ɛ+eo","0.4"
"result.25","i+eo","0.2"
"result.25","ɪ+eo","0.4"
"","",""
"Result","row.name","es"
"result.26","z+es","1"
"","",""
"Result","row.name","eu"
"result.27","ju+eu","0.3333333"
"result.27","u+eu","0.6666667"
"","",""
"Result","row.name","ew"
"result.28","oʊ+ew","0.05263158"
"result.28","u+ew","0.94736842"
"","",""
"Result","row.name","ey"
"result.29","aɪ+ey","0.16666667"
"result.29","eɪ+ey","0.08333333"
"result.29","i+ey","0.75000000"
"","",""
"Result","row.name","ez"
"result.30","eɪ+ez","1"
"","",""
"Result","row.name","f"
"result.31","f+f","1"
"","",""
"Result","row.name","ff"
"result.32","f+ff","1"
"","",""
"Result","row.name","g"
"result.33","dʒ+g","0.1875"
"result.33","g+g","0.8125"
"","",""
"Result","row.name","gg"
"result.34","g+gg","1"
"","",""
"Result","row.name","gh"
"result.35","f+gh","1"
"","",""
"Result","row.name","gn"
"result.36","n+gn","1"
"","",""
"Result","row.name","he"
"result.37","ə+he","1"
