"Result","row.name","a"
"result.1","ɑ+a","0.043165468"
"result.1","æ+a","0.107913669"
"result.1","ə+a","0.669064748"
"result.1","ɚ+a","0.035971223"
"result.1","eɪ+a","0.100719424"
"result.1","ɛ+a","0.035971223"
"result.1","ɪ+a","0.007194245"
"","",""
"Result","row.name","a_e"
"result.2","ɑ+a_e","0.05769231"
"result.2","æ+a_e","0.03846154"
"result.2","ə+a_e","0.23076923"
"result.2","eɪ+a_e","0.44230769"
"result.2","ɛ+a_e","0.01923077"
"result.2","ɪ+a_e","0.21153846"
"","",""
"Result","row.name","ah"
"result.3","ə+ah","1"
"","",""
"Result","row.name","ai"
"result.4","eɪ+ai","1"
"","",""
"Result","row.name","ay"
"result.5","eɪ+ay","1"
"","",""
"Result","row.name","b"
"result.6","b+b","1"
"","",""
"Result","row.name","bb"
"result.7","b+bb","1"
"","",""
"Result","row.name","bp"
"result.8","p+bp","1"
"","",""
"Result","row.name","bt"
"result.9","t+bt","1"
"","",""
"Result","row.name","c"
"result.10","k+c","0.627962085"
"result.10","s+c","0.362559242"
"result.10","ʃ+c","0.007109005"
"result.10","tʃ+c","0.002369668"
"","",""
"Result","row.name","cc"
"result.11","k+cc","1"
"","",""
"Result","row.name","cch"
"result.12","k+cch","1"
"","",""
"Result","row.name","ch"
"result.13","k+ch","0.40"
"result.13","ʃ+ch","0.08"
"result.13","tʃ+ch","0.52"
"","",""
"Result","row.name","chs"
"result.14","ʃ+chs","1"
"","",""
"Result","row.name","ci"
"result.15","ʃ+ci","1"
"","",""
"Result","row.name","ck"
"result.16","k+ck","1"
"","",""
"Result","row.name","cq"
"result.17","k+cq","1"
"","",""
"Result","row.name","d"
"result.18","d+d","0.96135266"
"result.18","dʒ+d","0.03864734"
"","",""
"Result","row.name","dd"
"result.19","d+dd","1"
"","",""
"Result","row.name","dg"
"result.20","dʒ+dg","1"
"","",""
"Result","row.name","di"
"result.21","dʒ+di","1"
"","",""
"Result","row.name","dj"
"result.22","dʒ+dj","1"
"","",""
"Result","row.name","e"
"result.23","ə+e","0.35483871"
"result.23","ɚ+e","0.43010753"
"result.23","eɪ+e","0.01075269"
"result.23","ɛ+e","0.16129032"
"result.23","i+e","0.03225806"
"result.23","ɪ+e","0.01075269"
"","",""
"Result","row.name","e_e"
"result.24","ə+e_e","0.60000000"
"result.24","ɚ+e_e","0.06666667"
"result.24","ɛ+e_e","0.33333333"
"","",""
"Result","row.name","ee"
"result.25","i+ee","1"
"","",""
"Result","row.name","ey"
"result.26","i+ey","1"
"","",""
"Result","row.name","f"
"result.27","f+f","1"
"","",""
"Result","row.name","ff"
"result.28","f+ff","1"
"","",""
"Result","row.name","ft"
"result.29","f+ft","1"
"","",""
"Result","row.name","g"
"result.30","dʒ+g","0.322807"
"result.30","g+g","0.677193"
"","",""
"Result","row.name","gg"
"result.31","dʒ+gg","0.05555556"
"result.31","g+gg","0.94444444"
"","",""
"Result","row.name","gh"
"result.32","f+gh","0.5"
"result.32","g+gh","0.5"
"","",""
"Result","row.name","gi"
"result.33","dʒ+gi","1"
"","",""
"Result","row.name","gn"
"result.34","n+gn","0.5"
"result.34","nj+gn","0.5"
"","",""
"Result","row.name","gu"
"result.35","g+gu","1"
"","",""
"Result","row.name","h"
"result.36","h+h","1"
"","",""
"Result","row.name","ha"
"result.37","ə+ha","1"
"","",""
"Result","row.name","hau"
"result.38","ɔ+hau","1"
"","",""
"Result","row.name","he"
"result.39","ə+he","1"
"","",""
"Result","row.name","hi"
"result.40","ə+hi","0.3333333"
"result.40","ɪ+hi","0.6666667"
"","",""
"Result","row.name","i"
"result.41","ə+i","0.07692308"
"result.41","ɚ+i","0.01282051"
"result.41","i+i","0.06410256"
"result.41","ɪ+i","0.61538462"
"result.41","j+i","0.23076923"
"","",""
