"Result","row.name","_"
"result.1","ə+_","257"
"result.1","ɚ+_","  4"
"result.1","ʌ+_","  7"
"","",""
"Result","row.name","a"
"result.2","ɑ+a","314"
"result.2","æ+a","761"
"result.2","ɔ+a","100"
"result.2","ə+a","281"
"result.2","ɚ+a"," 83"
"result.2","eɪ+a"," 60"
"result.2","ɛ+a","  6"
"result.2","ɪ+a","  3"
"result.2","ʌ+a","  3"
"","",""
"Result","row.name","a_e"
"result.3","ɑ+a_e"," 19"
"result.3","æ+a_e"," 41"
"result.3","ɔ+a_e","  1"
"result.3","ə+a_e"," 50"
"result.3","eɪ+a_e","308"
"result.3","ɛ+a_e"," 36"
"result.3","ɪ+a_e"," 32"
"","",""
"Result","row.name","ach"
"result.4","ɑ+ach","1"
"","",""
"Result","row.name","ae"
"result.5","aɪ+ae","1"
"result.5","ə+ae","1"
"result.5","eɪ+ae","1"
"","",""
"Result","row.name","ah"
"result.6","ɑ+ah","1"
"","",""
"Result","row.name","ai"
"result.7","æ+ai","  1"
"result.7","ə+ai"," 14"
"result.7","eɪ+ai","128"
"result.7","ɛ+ai"," 37"
"","",""
"Result","row.name","ai_e"
"result.8","eɪ+ai_e","9"
"result.8","ɛ+ai_e","2"
"","",""
"Result","row.name","aigh"
"result.9","eɪ+aigh","1"
"","",""
"Result","row.name","ao"
"result.10","ɔ+ao","1"
"","",""
"Result","row.name","au"
"result.11","ɑ+au"," 4"
"result.11","æ+au"," 4"
"result.11","aʊ+au"," 1"
"result.11","ɔ+au","21"
"result.11","ɚ+au"," 1"
"","",""
"Result","row.name","au_e"
"result.12","ɑ+au_e","1"
"result.12","ɔ+au_e","9"
"result.12","ə+au_e","1"
"result.12","eɪ+au_e","1"
"result.12","oʊ+au_e","2"
"result.12","ʌ+au_e","1"
"","",""
"Result","row.name","augh"
"result.13","ɔ+augh","4"
"","",""
"Result","row.name","aw"
"result.14","ɔ+aw","18"
"","",""
"Result","row.name","awe"
"result.15","ɔ+awe","2"
"","",""
"Result","row.name","ay"
"result.16","eɪ+ay","17"
"result.16","ɛ+ay"," 1"
"","",""
"Result","row.name","ay_e"
"result.17","eɪ+ay_e","1"
"","",""
"Result","row.name","aye"
"result.18","ɛ+aye","2"
"","",""
"Result","row.name","b"
"result.19","b+b","4"
"","",""
"Result","row.name","bb"
"result.20","b+bb","1"
"","",""
"Result","row.name","bt"
"result.21","t+bt","2"
"","",""
"Result","row.name","c"
"result.22","k+c","205"
"result.22","s+c"," 11"
"","",""
"Result","row.name","ch"
"result.23","k+ch","19"
"result.23","tʃ+ch"," 4"
"","",""
"Result","row.name","ck"
"result.24","k+ck","29"
"","",""
"Result","row.name","d"
"result.25","d+d","64"
"","",""
"Result","row.name","dd"
"result.26","d+dd","1"
"","",""
"Result","row.name","dn"
"result.27","n+dn","1"
"","",""
"Result","row.name","e"
"result.28","ɑ+e","  2"
"result.28","ə+e","563"
"result.28","ɚ+e","955"
"result.28","ɛ+e","680"
"result.28","i+e","  5"
"result.28","ɪ+e","196"
"","",""
"Result","row.name","e_e"
"result.29","ə+e_e","27"
"result.29","ɚ+e_e","18"
"result.29","eɪ+e_e"," 2"
"result.29","ɛ+e_e","63"
"result.29","i+e_e","23"
"result.29","ɪ+e_e","14"
"","",""
"Result","row.name","ea"
"result.30","ɑ+ea","  6"
"result.30","ə+ea","  3"
"result.30","ɚ+ea"," 14"
"result.30","eɪ+ea","  5"
"result.30","ɛ+ea"," 59"
"result.30","i+ea","136"
"result.30","ɪ+ea"," 34"
"","",""
"Result","row.name","ea_e"
"result.31","ə+ea_e"," 1"
"result.31","ɚ+ea_e"," 2"
"result.31","ɛ+ea_e"," 1"
"result.31","i+ea_e","18"
"","",""
"Result","row.name","ed"
"result.32","d+ed","1"
"","",""
"Result","row.name","ee"
"result.33","i+ee","133"
"result.33","ɪ+ee"," 25"
"","",""
"Result","row.name","ee_e"
"result.34","i+ee_e","15"
"","",""
"Result","row.name","ei"
"result.35","aɪ+ei","4"
"result.35","ə+ei","2"
"result.35","eɪ+ei","7"
"result.35","ɛ+ei","2"
"result.35","i+ei","9"
"result.35","ɪ+ei","3"
"","",""
"Result","row.name","ei_e"
"result.36","eɪ+ei_e","1"
"result.36","i+ei_e","5"
"","",""
"Result","row.name","eigh"
"result.37","aɪ+eigh","2"
"result.37","eɪ+eigh","3"
"","",""
"Result","row.name","eo"
"result.38","ɔ+eo","1"
"result.38","ə+eo","5"
"","",""
"Result","row.name","eo_e"
"result.39","ɔ+eo_e","1"
"","",""
"Result","row.name","eou"
"result.40","oʊ+eou","1"
"","",""
"Result","row.name","eu"
"result.41","ɔɪ+eu"," 1"
"result.41","ɚ+eu","10"
"result.41","ju+eu"," 1"
"result.41","u+eu"," 4"
"result.41","ʊ+eu"," 1"
"","",""
"Result","row.name","eu_e"
"result.42","u+eu_e","2"
"","",""
"Result","row.name","ew"
"result.43","oʊ+ew"," 1"
"result.43","u+ew","11"
"","",""
"Result","row.name","ewe"
"result.44","u+ewe","3"
"","",""
"Result","row.name","ey"
"result.45","aɪ+ey","2"
"result.45","i+ey","1"
"","",""
"Result","row.name","f"
"result.46","f+f","41"
"","",""
"Result","row.name","ff"
"result.47","f+ff","3"
"","",""
"Result","row.name","g"
"result.48","dʒ+g","9"
"result.48","g+g","6"
"","",""
"Result","row.name","gg"
"result.49","g+gg","6"
"","",""
"Result","row.name","gh"
"result.50","f+gh","2"
"","",""
"Result","row.name","gn"
"result.51","n+gn","4"
"","",""
"Result","row.name","gu"
"result.52","g+gu","5"
"","",""
"Result","row.name","he"
"result.53","ɚ+he","2"
"","",""
"Result","row.name","i"
"result.54","ɑ+i","   2"
"result.54","aɪ+i","  82"
"result.54","ə+i","  76"
"result.54","ɚ+i","  86"
"result.54","i+i","   6"
"result.54","ɪ+i","1243"
"result.54","j+i","  15"
"","",""
"Result","row.name","i_e"
"result.55","ɑ+i_e","  2"
"result.55","aɪ+i_e","268"
"result.55","ə+i_e"," 22"
"result.55","ɚ+i_e","  1"
"result.55","i+i_e"," 30"
"result.55","ɪ+i_e"," 98"
"","",""
"Result","row.name","ia"
"result.56","aɪ+ia","2"
"","",""
"Result","row.name","ia_e"
"result.57","ə+ia_e","1"
"result.57","ɪ+ia_e","3"
"","",""
"Result","row.name","ie"
"result.58","aɪ+ie","17"
"result.58","ə+ie"," 2"
"result.58","ɛ+ie","11"
"result.58","i+ie","54"
"result.58","ɪ+ie"," 6"
"","",""
"Result","row.name","ie_e"
"result.59","i+ie_e","11"
"result.59","ɪ+ie_e"," 4"
"","",""
"Result","row.name","igh"
"result.60","aɪ+igh","54"
"","",""
"Result","row.name","igh_e"
"result.61","aɪ+igh_e","1"
"","",""
"Result","row.name","j"
"result.62","j+j","1"
"","",""
"Result","row.name","k"
"result.63","k+k","75"
"","",""
"Result","row.name","l"
"result.64","l+l","944"
"","",""
"Result","row.name","lk"
"result.65","k+lk","5"
"","",""
"Result","row.name","ll"
"result.66","l+ll","24"
"","",""
"Result","row.name","lm"
"result.67","m+lm","2"
"","",""
"Result","row.name","m"
"result.68","m+m","153"
"","",""
"Result","row.name","mb"
"result.69","m+mb","3"
"","",""
"Result","row.name","mm"
"result.70","m+mm","2"
"","",""
"Result","row.name","mn"
"result.71","m+mn","2"
"","",""
"Result","row.name","n"
"result.72","n+n","761"
"result.72","ŋ+n"," 83"
"","",""
"Result","row.name","ng"
"result.73","ŋ+ng","28"
"","",""
"Result","row.name","nn"
"result.74","n+nn","2"
"","",""
"Result","row.name","o"
"result.75","ɑ+o","323"
"result.75","ɔ+o","261"
"result.75","ə+o","385"
"result.75","ɚ+o","178"
"result.75","oʊ+o"," 87"
"result.75","r+o","  1"
"result.75","u+o","  7"
"result.75","ʊ+o","  4"
"result.75","ʌ+o"," 38"
"result.75","w+o","  4"
"","",""
"Result","row.name","o_e"
"result.76","ɑ+o_e"," 18"
"result.76","ɔ+o_e"," 56"
"result.76","ə+o_e","  7"
"result.76","ɚ+o_e","  1"
"result.76","oʊ+o_e","150"
"result.76","u+o_e"," 10"
"result.76","ʌ+o_e"," 29"
"","",""
"Result","row.name","oa"
"result.77","ɔ+oa","16"
"result.77","ɚ+oa"," 1"
"result.77","oʊ+oa","54"
"","",""
"Result","row.name","oa_e"
"result.78","ɔ+oa_e","2"
"","",""
"Result","row.name","oe"
"result.79","oʊ+oe","7"
"result.79","u+oe","1"
