"Result","row.name","_"
"result.1","ə+_","0.95895522"
"result.1","ɚ+_","0.01492537"
"result.1","ʌ+_","0.02611940"
"","",""
"Result","row.name","a"
"result.2","ɑ+a","0.194909994"
"result.2","æ+a","0.472377405"
"result.2","ɔ+a","0.062073246"
"result.2","ə+a","0.174425822"
"result.2","ɚ+a","0.051520795"
"result.2","eɪ+a","0.037243948"
"result.2","ɛ+a","0.003724395"
"result.2","ɪ+a","0.001862197"
"result.2","ʌ+a","0.001862197"
"","",""
"Result","row.name","a_e"
"result.3","ɑ+a_e","0.039014374"
"result.3","æ+a_e","0.084188912"
"result.3","ɔ+a_e","0.002053388"
"result.3","ə+a_e","0.102669405"
"result.3","eɪ+a_e","0.632443532"
"result.3","ɛ+a_e","0.073921971"
"result.3","ɪ+a_e","0.065708419"
"","",""
"Result","row.name","ach"
"result.4","ɑ+ach","1"
"","",""
"Result","row.name","ae"
"result.5","aɪ+ae","0.3333333"
"result.5","ə+ae","0.3333333"
"result.5","eɪ+ae","0.3333333"
"","",""
"Result","row.name","ah"
"result.6","ɑ+ah","1"
"","",""
"Result","row.name","ai"
"result.7","æ+ai","0.005555556"
"result.7","ə+ai","0.077777778"
"result.7","eɪ+ai","0.711111111"
"result.7","ɛ+ai","0.205555556"
"","",""
"Result","row.name","ai_e"
"result.8","eɪ+ai_e","0.8181818"
"result.8","ɛ+ai_e","0.1818182"
"","",""
"Result","row.name","aigh"
"result.9","eɪ+aigh","1"
"","",""
"Result","row.name","ao"
"result.10","ɔ+ao","1"
"","",""
"Result","row.name","au"
"result.11","ɑ+au","0.12903226"
"result.11","æ+au","0.12903226"
"result.11","aʊ+au","0.03225806"
"result.11","ɔ+au","0.67741935"
"result.11","ɚ+au","0.03225806"
"","",""
"Result","row.name","au_e"
"result.12","ɑ+au_e","0.06666667"
"result.12","ɔ+au_e","0.60000000"
"result.12","ə+au_e","0.06666667"
"result.12","eɪ+au_e","0.06666667"
"result.12","oʊ+au_e","0.13333333"
"result.12","ʌ+au_e","0.06666667"
"","",""
"Result","row.name","augh"
"result.13","ɔ+augh","1"
"","",""
"Result","row.name","aw"
"result.14","ɔ+aw","1"
"","",""
"Result","row.name","awe"
"result.15","ɔ+awe","1"
"","",""
"Result","row.name","ay"
"result.16","eɪ+ay","0.94444444"
"result.16","ɛ+ay","0.05555556"
"","",""
"Result","row.name","ay_e"
"result.17","eɪ+ay_e","1"
"","",""
"Result","row.name","aye"
"result.18","ɛ+aye","1"
"","",""
"Result","row.name","b"
"result.19","b+b","1"
"","",""
"Result","row.name","bb"
"result.20","b+bb","1"
"","",""
"Result","row.name","bt"
"result.21","t+bt","1"
"","",""
"Result","row.name","c"
"result.22","k+c","0.94907407"
"result.22","s+c","0.05092593"
"","",""
"Result","row.name","ch"
"result.23","k+ch","0.826087"
"result.23","tʃ+ch","0.173913"
"","",""
"Result","row.name","ck"
"result.24","k+ck","1"
"","",""
"Result","row.name","d"
"result.25","d+d","1"
"","",""
"Result","row.name","dd"
"result.26","d+dd","1"
"","",""
"Result","row.name","dn"
"result.27","n+dn","1"
"","",""
"Result","row.name","e"
"result.28","ɑ+e","0.0008329863"
"result.28","ə+e","0.2344856310"
"result.28","ɚ+e","0.3977509371"
"result.28","ɛ+e","0.2832153269"
"result.28","i+e","0.0020824656"
"result.28","ɪ+e","0.0816326531"
"","",""
"Result","row.name","e_e"
"result.29","ə+e_e","0.18367347"
"result.29","ɚ+e_e","0.12244898"
"result.29","eɪ+e_e","0.01360544"
"result.29","ɛ+e_e","0.42857143"
"result.29","i+e_e","0.15646259"
"result.29","ɪ+e_e","0.09523810"
"","",""
"Result","row.name","ea"
"result.30","ɑ+ea","0.02334630"
"result.30","ə+ea","0.01167315"
"result.30","ɚ+ea","0.05447471"
"result.30","eɪ+ea","0.01945525"
"result.30","ɛ+ea","0.22957198"
"result.30","i+ea","0.52918288"
"result.30","ɪ+ea","0.13229572"
"","",""
"Result","row.name","ea_e"
"result.31","ə+ea_e","0.04545455"
"result.31","ɚ+ea_e","0.09090909"
"result.31","ɛ+ea_e","0.04545455"
"result.31","i+ea_e","0.81818182"
"","",""
"Result","row.name","ed"
"result.32","d+ed","1"
"","",""
"Result","row.name","ee"
"result.33","i+ee","0.8417722"
"result.33","ɪ+ee","0.1582278"
"","",""
"Result","row.name","ee_e"
"result.34","i+ee_e","1"
"","",""
"Result","row.name","ei"
"result.35","aɪ+ei","0.14814815"
"result.35","ə+ei","0.07407407"
"result.35","eɪ+ei","0.25925926"
"result.35","ɛ+ei","0.07407407"
"result.35","i+ei","0.33333333"
"result.35","ɪ+ei","0.11111111"
"","",""
"Result","row.name","ei_e"
"result.36","eɪ+ei_e","0.1666667"
"result.36","i+ei_e","0.8333333"
"","",""
"Result","row.name","eigh"
"result.37","aɪ+eigh","0.4"
"result.37","eɪ+eigh","0.6"
"","",""
"Result","row.name","eo"
"result.38","ɔ+eo","0.1666667"
"result.38","ə+eo","0.8333333"
"","",""
"Result","row.name","eo_e"
"result.39","ɔ+eo_e","1"
"","",""
"Result","row.name","eou"
"result.40","oʊ+eou","1"
"","",""
"Result","row.name","eu"
"result.41","ɔɪ+eu","0.05882353"
"result.41","ɚ+eu","0.58823529"
"result.41","ju+eu","0.05882353"
"result.41","u+eu","0.23529412"
"result.41","ʊ+eu","0.05882353"
"","",""
"Result","row.name","eu_e"
"result.42","u+eu_e","1"
"","",""
"Result","row.name","ew"
"result.43","oʊ+ew","0.08333333"
"result.43","u+ew","0.91666667"
"","",""
"Result","row.name","ewe"
"result.44","u+ewe","1"
"","",""
"Result","row.name","ey"
"result.45","aɪ+ey","0.6666667"
"result.45","i+ey","0.3333333"
"","",""
"Result","row.name","f"
"result.46","f+f","1"
"","",""
"Result","row.name","ff"
"result.47","f+ff","1"
"","",""
"Result","row.name","g"
"result.48","dʒ+g","0.6"
"result.48","g+g","0.4"
"","",""
"Result","row.name","gg"
"result.49","g+gg","1"
"","",""
"Result","row.name","gh"
"result.50","f+gh","1"
"","",""
"Result","row.name","gn"
"result.51","n+gn","1"
"","",""
"Result","row.name","gu"
"result.52","g+gu","1"
"","",""
"Result","row.name","he"
"result.53","ɚ+he","1"
"","",""
"Result","row.name","i"
"result.54","ɑ+i","0.001324503"
"result.54","aɪ+i","0.054304636"
"result.54","ə+i","0.050331126"
"result.54","ɚ+i","0.056953642"
"result.54","i+i","0.003973510"
"result.54","ɪ+i","0.823178808"
"result.54","j+i","0.009933775"
"","",""
"Result","row.name","i_e"
"result.55","ɑ+i_e","0.004750594"
"result.55","aɪ+i_e","0.636579572"
"result.55","ə+i_e","0.052256532"
"result.55","ɚ+i_e","0.002375297"
"result.55","i+i_e","0.071258907"
"result.55","ɪ+i_e","0.232779097"
"","",""
"Result","row.name","ia"
"result.56","aɪ+ia","1"
"","",""
"Result","row.name","ia_e"
"result.57","ə+ia_e","0.25"
"result.57","ɪ+ia_e","0.75"
"","",""
"Result","row.name","ie"
"result.58","aɪ+ie","0.18888889"
"result.58","ə+ie","0.02222222"
"result.58","ɛ+ie","0.12222222"
"result.58","i+ie","0.60000000"
"result.58","ɪ+ie","0.06666667"
"","",""
"Result","row.name","ie_e"
"result.59","i+ie_e","0.7333333"
"result.59","ɪ+ie_e","0.2666667"
"","",""
"Result","row.name","igh"
"result.60","aɪ+igh","1"
"","",""
"Result","row.name","igh_e"
"result.61","aɪ+igh_e","1"
"","",""
"Result","row.name","j"
"result.62","j+j","1"
"","",""
"Result","row.name","k"
"result.63","k+k","1"
"","",""
"Result","row.name","l"
"result.64","l+l","1"
"","",""
"Result","row.name","lk"
"result.65","k+lk","1"
"","",""
"Result","row.name","ll"
"result.66","l+ll","1"
"","",""
"Result","row.name","lm"
"result.67","m+lm","1"
"","",""
"Result","row.name","m"
"result.68","m+m","1"
"","",""
"Result","row.name","mb"
"result.69","m+mb","1"
"","",""
"Result","row.name","mm"
"result.70","m+mm","1"
"","",""
"Result","row.name","mn"
"result.71","m+mn","1"
"","",""
"Result","row.name","n"
"result.72","n+n","0.90165877"
"result.72","ŋ+n","0.09834123"
"","",""
"Result","row.name","ng"
"result.73","ŋ+ng","1"
"","",""
"Result","row.name","nn"
"result.74","n+nn","1"
"","",""
"Result","row.name","o"
"result.75","ɑ+o","0.2507763975"
"result.75","ɔ+o","0.2026397516"
"result.75","ə+o","0.2989130435"
"result.75","ɚ+o","0.1381987578"
"result.75","oʊ+o","0.0675465839"
"result.75","r+o","0.0007763975"
"result.75","u+o","0.0054347826"
"result.75","ʊ+o","0.0031055901"
"result.75","ʌ+o","0.0295031056"
"result.75","w+o","0.0031055901"
"","",""
"Result","row.name","o_e"
"result.76","ɑ+o_e","0.066420664"
"result.76","ɔ+o_e","0.206642066"
"result.76","ə+o_e","0.025830258"
"result.76","ɚ+o_e","0.003690037"
"result.76","oʊ+o_e","0.553505535"
"result.76","u+o_e","0.036900369"
"result.76","ʌ+o_e","0.107011070"
"","",""
"Result","row.name","oa"
"result.77","ɔ+oa","0.22535211"
"result.77","ɚ+oa","0.01408451"
"result.77","oʊ+oa","0.76056338"
"","",""
"Result","row.name","oa_e"
"result.78","ɔ+oa_e","1"
"","",""
"Result","row.name","oe"
"result.79","oʊ+oe","0.7777778"
"result.79","u+oe","0.1111111"
"result.79","ʌ+oe","0.1111111"
"","",""
"Result","row.name","oh"
"result.80","ɑ+oh","1"
"","",""
"Result","row.name","oi"
"result.81","ɔɪ+oi","1"
"","",""
"Result","row.name","oi_e"
"result.82","ɔɪ+oi_e","0.8571429"
"result.82","ə+oi_e","0.1428571"
"","",""
"Result","row.name","oo"
"result.83","ɔ+oo","0.067307692"
"result.83","oʊ+oo","0.004807692"
"result.83","u+oo","0.596153846"
"result.83","ʊ+oo","0.317307692"
"result.83","ʌ+oo","0.014423077"
"","",""
"Result","row.name","oo_e"
"result.84","u+oo_e","1"
"","",""
"Result","row.name","or"
"result.85","r+or","1"
"","",""
"Result","row.name","ou"
"result.86","aʊ+ou","0.48019802"
"result.86","ɔ+ou","0.07425743"
"result.86","ə+ou","0.14851485"
"result.86","ɚ+ou","0.12376238"
"result.86","oʊ+ou","0.03465347"
"result.86","u+ou","0.03960396"
"result.86","ʊ+ou","0.03960396"
"result.86","ʌ+ou","0.05940594"
"","",""
"Result","row.name","ou_e"
"result.87","aʊ+ou_e","0.76923077"
"result.87","ɔ+ou_e","0.05128205"
"result.87","ɚ+ou_e","0.02564103"
"result.87","oʊ+ou_e","0.02564103"
"result.87","u+ou_e","0.12820513"
"","",""
"Result","row.name","ough"
"result.88","aʊ+ough","0.125"
"result.88","ɔ+ough","0.875"
"","",""
"Result","row.name","ow"
"result.89","aʊ+ow","0.6730769"
"result.89","oʊ+ow","0.3269231"
"","",""
"Result","row.name","ow_e"
"result.90","aʊ+ow_e","1"
"","",""
"Result","row.name","oy"
"result.91","ɔɪ+oy","1"
"","",""
"Result","row.name","oy_e"
"result.92","ɔɪ+oy_e","1"
"","",""
"Result","row.name","p"
"result.93","p+p","1"
"","",""
"Result","row.name","ph"
"result.94","f+ph","1"
"","",""
"Result","row.name","pp"
"result.95","p+pp","1"
"","",""
"Result","row.name","pt"
"result.96","t+pt","1"
"","",""
"Result","row.name","q"
"result.97","k+q","1"
"","",""
"Result","row.name","qu"
"result.98","k+qu","1"
"","",""
"Result","row.name","r"
"result.99","r+r","1"
"","",""
"Result","row.name","rr"
"result.100","r+rr","1"
"","",""
"Result","row.name","s"
"result.101","s+s","0.90322581"
"result.101","z+s","0.09677419"
"","",""
"Result","row.name","sh"
"result.102","ʃ+sh","1"
"","",""
"Result","row.name","ss"
"result.103","s+ss","1"
"","",""
"Result","row.name","t"
"result.104","t+t","1"
"","",""
"Result","row.name","tch"
"result.105","tʃ+tch","1"
"","",""
"Result","row.name","th"
"result.106","ð+th","0.7272727"
"result.106","θ+th","0.2727273"
"","",""
"Result","row.name","thm"
"result.107","m+thm","1"
"","",""
"Result","row.name","tt"
"result.108","t+tt","1"
"","",""
"Result","row.name","tz"
"result.109","s+tz","1"
"","",""
"Result","row.name","u"
"result.110","ə+u","0.138009050"
"result.110","ɚ+u","0.149321267"
"result.110","ɪ+u","0.003393665"
"result.110","jɚ+u","0.004524887"
"result.110","ju+u","0.005656109"
"result.110","jʊ+u","0.003393665"
"result.110","u+u","0.014705882"
"result.110","ʊ+u","0.040723982"
"result.110","ʌ+u","0.511312217"
"result.110","w+u","0.128959276"
"","",""
"Result","row.name","u_e"
"result.111","ə+u_e","0.05000"
"result.111","ɚ+u_e","0.28750"
"result.111","jɚ+u_e","0.00625"
"result.111","ju+u_e","0.17500"
"result.111","jʊ+u_e","0.02500"
"result.111","u+u_e","0.31875"
"result.111","ʊ+u_e","0.04375"
"result.111","ʌ+u_e","0.09375"
"","",""
"Result","row.name","ua"
"result.112","u+ua","1"
"","",""
"Result","row.name","ue"
"result.113","ju+ue","0.3076923"
"result.113","u+ue","0.6923077"
"","",""
"Result","row.name","ui"
"result.114","ə+ui","0.1333333"
"result.114","ɪ+ui","0.2666667"
"result.114","u+ui","0.6000000"
"","",""
"Result","row.name","ui_e"
"result.115","u+ui_e","1"
"","",""
"Result","row.name","uu"
"result.116","ju+uu","1"
"","",""
"Result","row.name","v"
