"","b","d","ð","ə","ɚ","f","g","j","k","l","m","n","p","r","s","t","tʃ","z","θ"
"b",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bb",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c",0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
"d",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"g",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"k",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"l",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ll",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"m",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"mm",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"n",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"nn",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"o",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"ph",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"pp",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"r",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"rr",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"s",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ss",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"t",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"tch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"th",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"tt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"y",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
