"","ɑ","æ","aɪ","aʊ","ɔ","d","ə","eɪ","ɛ","i","ɪ","k","n","ŋ","oʊ","r","s","t","ʊ","ʌ","θ"
"a",0,7,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0
"c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"d",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e",0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"ee",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"i",0,0,2,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"ia",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"n",0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0
"o",1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ow",0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"r",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"th",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"u",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"y",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
