"Result","row.name","a"
"result.1","ɑ+a","  5"
"result.1","ə+a","108"
"","",""
"Result","row.name","ae"
"result.2","eɪ+ae","1"
"result.2","i+ae","1"
"","",""
"Result","row.name","ah"
"result.3","ɑ+ah","1"
"result.3","ə+ah","5"
"","",""
"Result","row.name","ai"
"result.4","aɪ+ai","1"
"","",""
"Result","row.name","aoh"
"result.5","oʊ+aoh","1"
"","",""
"Result","row.name","aux"
"result.6","oʊ+aux","1"
"","",""
"Result","row.name","aw"
"result.7","ɑ+aw"," 1"
"result.7","ɔ+aw","23"
"","",""
"Result","row.name","ay"
"result.8","eɪ+ay","67"
"result.8","i+ay"," 1"
"","",""
"Result","row.name","b"
"result.9","b+b","79"
"","",""
"Result","row.name","bb"
"result.10","b+bb","1"
"","",""
"Result","row.name","br"
"result.11","b+br","1"
"","",""
"Result","row.name","bt"
"result.12","t+bt","2"
"","",""
"Result","row.name","c"
"result.13","k+c"," 79"
"result.13","s+c","156"
"","",""
"Result","row.name","ch"
"result.14","k+ch"," 8"
"result.14","ʃ+ch"," 9"
"result.14","tʃ+ch","82"
"","",""
"Result","row.name","ck"
"result.15","k+ck","95"
"","",""
"Result","row.name","ct"
"result.16","t+ct","1"
"","",""
"Result","row.name","d"
"result.17","d+d","485"
"result.17","dʒ+d","  2"
"","",""
"Result","row.name","dd"
"result.18","d+dd","2"
"","",""
"Result","row.name","dg"
"result.19","dʒ+dg","24"
"","",""
"Result","row.name","dt"
"result.20","t+dt","1"
"","",""
"Result","row.name","e"
"result.21","ə+e"," 2"
"result.21","eɪ+e"," 3"
"result.21","i+e","21"
"","",""
"Result","row.name","ea"
"result.22","ə+ea","1"
"result.22","eɪ+ea","1"
"result.22","i+ea","7"
"","",""
"Result","row.name","eah"
"result.23","æ+eah","1"
"","",""
"Result","row.name","eau"
"result.24","oʊ+eau","4"
"","",""
"Result","row.name","ed"
"result.25","d+ed","30"
"result.25","t+ed","21"
"","",""
"Result","row.name","ee"
"result.26","i+ee","29"
"","",""
"Result","row.name","eigh"
"result.27","eɪ+eigh","3"
"","",""
"Result","row.name","es"
"result.28","s+es"," 4"
"result.28","z+es","30"
"","",""
"Result","row.name","et"
"result.29","eɪ+et","11"
"","",""
"Result","row.name","eue"
"result.30","ju+eue","1"
"","",""
"Result","row.name","ew"
"result.31","ju+ew"," 5"
"result.31","u+ew","20"
"","",""
"Result","row.name","ey"
"result.32","eɪ+ey"," 7"
"result.32","i+ey","21"
"","",""
"Result","row.name","eye"
"result.33","aɪ+eye","1"
"","",""
"Result","row.name","f"
"result.34","f+f","56"
"result.34","v+f"," 1"
"","",""
"Result","row.name","ff"
"result.35","f+ff","26"
"","",""
"Result","row.name","g"
"result.36","dʒ+g","100"
"result.36","g+g"," 76"
"result.36","ʒ+g","  6"
"","",""
"Result","row.name","gg"
"result.37","g+gg","1"
"","",""
"Result","row.name","gh"
"result.38","f+gh","7"
"result.38","p+gh","1"
"","",""
"Result","row.name","gn"
"result.39","n+gn","11"
"","",""
"Result","row.name","gu"
"result.40","g+gu","8"
"","",""
"Result","row.name","i"
"result.41","aɪ+i"," 2"
"result.41","i+i","18"
"","",""
"Result","row.name","ia"
"result.42","ə+ia","1"
"","",""
"Result","row.name","ie"
"result.43","aɪ+ie"," 7"
"result.43","i+ie","22"
"","",""
"Result","row.name","igh"
"result.44","aɪ+igh","4"
"","",""
"Result","row.name","is"
"result.45","i+is","1"
"","",""
"Result","row.name","k"
"result.46","k+k","218"
"result.46","ks+k","  1"
"","",""
"Result","row.name","l"
"result.47","l+l","654"
"","",""
"Result","row.name","ld"
"result.48","d+ld","3"
"","",""
"Result","row.name","lf"
"result.49","f+lf","2"
"","",""
"Result","row.name","lk"
"result.50","k+lk","10"
"","",""
"Result","row.name","ll"
"result.51","l+ll","100"
"","",""
"Result","row.name","lm"
"result.52","m+lm","3"
"","",""
"Result","row.name","lv"
"result.53","v+lv","3"
"","",""
"Result","row.name","m"
"result.54","m+m","254"
"","",""
"Result","row.name","mb"
"result.55","m+mb","14"
"","",""
"Result","row.name","mn"
"result.56","m+mn","5"
"","",""
"Result","row.name","n"
"result.57","n+n","752"
"","",""
"Result","row.name","ng"
"result.58","ŋ+ng","255"
"","",""
"Result","row.name","ngu"
"result.59","ŋ+ngu","3"
"","",""
"Result","row.name","nn"
"result.60","n+nn","4"
"","",""
"Result","row.name","o"
"result.61","oʊ+o","80"
"result.61","u+o"," 8"
"","",""
"Result","row.name","oa"
"result.62","oʊ+oa","2"
"","",""
"Result","row.name","oe"
"result.63","oʊ+oe","8"
"result.63","u+oe","3"
"","",""
"Result","row.name","oo"
"result.64","u+oo","15"
"","",""
"Result","row.name","ooh"
"result.65","u+ooh","1"
"","",""
"Result","row.name","ot"
"result.66","oʊ+ot","1"
"","",""
"Result","row.name","ou"
"result.67","aʊ+ou","1"
"result.67","u+ou","2"
"","",""
"Result","row.name","ough"
"result.68","aʊ+ough","2"
"result.68","oʊ+ough","6"
"result.68","u+ough","1"
"","",""
"Result","row.name","oup"
"result.69","u+oup","1"
"","",""
"Result","row.name","ous"
"result.70","u+ous","1"
"","",""
"Result","row.name","ow"
"result.71","aʊ+ow","17"
"result.71","oʊ+ow","45"
"result.71","ʊ+ow"," 1"
"","",""
"Result","row.name","oy"
"result.72","ɔɪ+oy","16"
"","",""
"Result","row.name","p"
"result.73","p+p","248"
"","",""
"Result","row.name","ph"
"result.74","f+ph","8"
"","",""
"Result","row.name","pt"
"result.75","t+pt","2"
"","",""
"Result","row.name","qu"
"result.76","k+qu","11"
"","",""
"Result","row.name","r"
"result.77","r+r","902"
"","",""
"Result","row.name","rps"
"result.78","r+rps","1"
"","",""
"Result","row.name","rr"
"result.79","r+rr","4"
"","",""
"Result","row.name","rrh"
"result.80","r+rrh","1"
"","",""
"Result","row.name","s"
"result.81","s+s","252"
"result.81","z+s","209"
"","",""
"Result","row.name","sc"
"result.82","s+sc","3"
"","",""
"Result","row.name","sh"
"result.83","ʃ+sh","90"
"","",""
"Result","row.name","sl"
"result.84","l+sl","3"
"","",""
"Result","row.name","ss"
"result.85","s+ss","139"
"","",""
"Result","row.name","t"
"result.86","t+t","1101"
"","",""
"Result","row.name","tch"
"result.87","tʃ+tch","34"
"","",""
"Result","row.name","th"
"result.88","ð+th","10"
"result.88","θ+th","71"
"","",""
"Result","row.name","tt"
"result.89","t+tt","14"
"","",""
"Result","row.name","tz"
"result.90","s+tz","1"
"","",""
"Result","row.name","u"
"result.91","ju+u","1"
"result.91","u+u","4"
"","",""
"Result","row.name","ue"
"result.92","ju+ue"," 9"
"result.92","u+ue","14"
"","",""
"Result","row.name","ut"
"result.93","ju+ut","1"
"","",""
"Result","row.name","uy"
"result.94","aɪ+uy","2"
"","",""
"Result","row.name","v"
"result.95","v+v","129"
"","",""
"Result","row.name","wo"
"result.96","u+wo","1"
"","",""
"Result","row.name","x"
"result.97","ks+x","39"
"","",""
"Result","row.name","y"
"result.98","aɪ+y"," 36"
"result.98","i+y","570"
"","",""
"Result","row.name","ye"
"result.99","aɪ+ye","4"
"","",""
"Result","row.name","z"
"result.100","s+z"," 4"
"result.100","z+z","43"
"","",""
"Result","row.name","zz"
"result.101","z+zz","4"
"","",""
