"Result","row.name","ɑ"
"result.1","ɑ+a","0.39759036"
"result.1","ɑ+a_e","0.01204819"
"result.1","ɑ+aa","0.01204819"
"result.1","ɑ+ah","0.01204819"
"result.1","ɑ+au","0.06024096"
"result.1","ɑ+aw","0.01204819"
"result.1","ɑ+e","0.04819277"
"result.1","ɑ+ho","0.04819277"
"result.1","ɑ+o","0.34939759"
"result.1","ɑ+o_e","0.01204819"
"result.1","ɑ+ou","0.03614458"
"","",""
"Result","row.name","æ"
"result.2","æ+a","0.97350993"
"result.2","æ+a_e","0.01324503"
"result.2","æ+au","0.01324503"
"","",""
"Result","row.name","aɪ"
"result.3","aɪ+ai_e","0.025"
"result.3","aɪ+aye","0.025"
"result.3","aɪ+ei","0.025"
"result.3","aɪ+eye","0.300"
"result.3","aɪ+i","0.475"
"result.3","aɪ+i_e","0.150"
"","",""
"Result","row.name","aʊ"
"result.4","aʊ+ho","0.04"
"result.4","aʊ+hou","0.04"
"result.4","aʊ+o","0.12"
"result.4","aʊ+ou","0.72"
"result.4","aʊ+ou_e","0.04"
"result.4","aʊ+ow","0.04"
"","",""
"Result","row.name","b"
"result.5","b+b","1"
"","",""
"Result","row.name","ɔ"
"result.6","ɔ+a","0.11940299"
"result.6","ɔ+au","0.25373134"
"result.6","ɔ+aw","0.05970149"
"result.6","ɔ+awe","0.01492537"
"result.6","ɔ+o","0.49253731"
"result.6","ɔ+o_e","0.02985075"
"result.6","ɔ+oa","0.01492537"
"result.6","ɔ+ough","0.01492537"
"","",""
"Result","row.name","ɔɪ"
"result.7","ɔɪ+oi","0.75"
"result.7","ɔɪ+oy","0.25"
"","",""
"Result","row.name","d"
"result.8","d+d","1"
"","",""
"Result","row.name","ð"
"result.9","ð+th","1"
"","",""
"Result","row.name","dʒ"
"result.10","dʒ+g","0.2255639"
"result.10","dʒ+j","0.7744361"
"","",""
"Result","row.name","ə"
"result.11","ə+a","0.80092593"
"result.11","ə+au","0.00462963"
"result.11","ə+e","0.03240741"
"result.11","ə+o","0.06481481"
"result.11","ə+u","0.09722222"
"","",""
"Result","row.name","ɚ"
"result.12","ɚ+a","0.08333333"
"result.12","ɚ+e","0.12500000"
"result.12","ɚ+ea","0.33333333"
"result.12","ɚ+he","0.04166667"
"result.12","ɚ+i","0.08333333"
"result.12","ɚ+o","0.08333333"
"result.12","ɚ+u","0.20833333"
"result.12","ɚ+u_e","0.04166667"
"","",""
"Result","row.name","eɪ"
"result.13","eɪ+a","0.54545455"
"result.13","eɪ+a_e","0.21212121"
"result.13","eɪ+ai","0.09090909"
"result.13","eɪ+ai_e","0.03030303"
"result.13","eɪ+eigh","0.12121212"
"","",""
"Result","row.name","ɛ"
"result.14","ɛ+a","0.088050314"
"result.14","ɛ+ae","0.012578616"
"result.14","ɛ+ai","0.050314465"
"result.14","ɛ+e","0.779874214"
"result.14","ɛ+e_e","0.062893082"
"result.14","ɛ+hei","0.006289308"
"","",""
"Result","row.name","f"
"result.15","f+f","0.95777778"
"result.15","f+ph","0.04222222"
"","",""
"Result","row.name","g"
"result.16","g+g","0.94019934"
"result.16","g+gh","0.01661130"
"result.16","g+gu","0.04318937"
"","",""
"Result","row.name","h"
"result.17","h+h","0.98148148"
"result.17","h+wh","0.01851852"
"","",""
"Result","row.name","i"
"result.18","i+e","0.55813953"
"result.18","i+e_e","0.04651163"
"result.18","i+ea","0.30232558"
"result.18","i+ea_e","0.04651163"
"result.18","i+ee","0.02325581"
"result.18","i+ei","0.02325581"
"","",""
"Result","row.name","ɪ"
"result.19","ɪ+e","0.392561983"
"result.19","ɪ+ea","0.008264463"
"result.19","ɪ+i","0.599173554"
"","",""
"Result","row.name","j"
"result.20","j+y","1"
"","",""
"Result","row.name","ju"
"result.21","ju+eu","0.13043478"
"result.21","ju+ewe","0.04347826"
"result.21","ju+hu","0.04347826"
"result.21","ju+u","0.60869565"
"result.21","ju+u_e","0.17391304"
"","",""
"Result","row.name","jʊ"
"result.22","jʊ+u","1"
"","",""
"Result","row.name","k"
"result.23","k+c","0.844380403"
"result.23","k+ch","0.030259366"
"result.23","k+k","0.066282421"
"result.23","k+kh","0.001440922"
"result.23","k+q","0.053314121"
"result.23","k+qu","0.004322767"
"","",""
"Result","row.name","l"
"result.24","l+l","1"
"","",""
"Result","row.name","m"
"result.25","m+m","1"
"","",""
"Result","row.name","n"
"result.26","n+gn","0.016483516"
"result.26","n+kn","0.120879121"
"result.26","n+mn","0.005494505"
"result.26","n+n","0.846153846"
"result.26","n+pn","0.010989011"
"","",""
"Result","row.name","oʊ"
"result.27","oʊ+o","0.72413793"
"result.27","oʊ+o_e","0.03448276"
"result.27","oʊ+oa","0.13793103"
"result.27","oʊ+ow","0.06896552"
"result.27","oʊ+owe","0.03448276"
"","",""
"Result","row.name","p"
"result.28","p+p","1"
"","",""
"Result","row.name","r"
"result.29","r+r","0.91868132"
"result.29","r+rh","0.01538462"
"result.29","r+wr","0.06593407"
"","",""
"Result","row.name","s"
"result.30","s+c","0.040540541"
"result.30","s+ps","0.004826255"
"result.30","s+s","0.947876448"
"result.30","s+sc","0.005791506"
"result.30","s+sw","0.000965251"
"","",""
"Result","row.name","ʃ"
"result.31","ʃ+ch","0.092307692"
"result.31","ʃ+s","0.023076923"
"result.31","ʃ+sch","0.007692308"
"result.31","ʃ+sh","0.876923077"
"","",""
"Result","row.name","t"
"result.32","t+pt","0.002564103"
"result.32","t+t","0.994871795"
"result.32","t+th","0.002564103"
"","",""
"Result","row.name","tʃ"
"result.33","tʃ+c","0.009708738"
"result.33","tʃ+ch","0.990291262"
"","",""
"Result","row.name","u"
"result.34","u+oo","0.6666667"
"result.34","u+oo_e","0.3333333"
"","",""
"Result","row.name","v"
"result.35","v+v","1"
"","",""
"Result","row.name","ʌ"
"result.36","ʌ+o","0.08695652"
"result.36","ʌ+u","0.91304348"
"","",""
"Result","row.name","w"
"result.37","w+o","0.011450382"
"result.37","w+ou","0.003816794"
"result.37","w+w","0.812977099"
"result.37","w+wh","0.171755725"
"","",""
"Result","row.name","z"
"result.38","z+cz","0.04545455"
"result.38","z+ts","0.04545455"
"result.38","z+z","0.90909091"
"","",""
"Result","row.name","θ"
"result.39","θ+th","1"
"","",""
